epoch,loss,lr,mae,mse,val_loss,val_mae,val_mse
0,3.8297946453094482,0.0002,1.015706181526184,3.8212780952453613,0.7538005113601685,0.6247362494468689,0.745288074016571
1,0.7535123825073242,0.0002,0.6301692724227905,0.7450026273727417,0.7012689709663391,0.6004444360733032,0.6927617192268372
2,0.7134237289428711,0.0002,0.6123262047767639,0.7049170732498169,0.7177382111549377,0.6093044877052307,0.7092325091362
3,0.6901589035987854,0.0002,0.601351261138916,0.6816557049751282,0.7084478735923767,0.607075035572052,0.6999468207359314
4,0.6821960210800171,0.0002,0.5972577333450317,0.6736986041069031,0.701914370059967,0.6029300689697266,0.6934208273887634
5,0.6784595251083374,0.0002,0.5953097343444824,0.6699701547622681,0.6939311027526855,0.599145770072937,0.68544602394104
6,0.6762880682945251,0.0002,0.5940883159637451,0.6678072214126587,0.7006215453147888,0.6021290421485901,0.6921458840370178
7,0.6745400428771973,0.0002,0.5931089520454407,0.6660687923431396,0.6944743394851685,0.5991912484169006,0.6860081553459167
8,0.6739729642868042,0.0002,0.5928884744644165,0.6655121445655823,0.6968382596969604,0.6006540656089783,0.6883829236030579
9,0.6726722121238708,0.0002,0.5920242071151733,0.6642219424247742,0.6902970671653748,0.598423182964325,0.6818529367446899
