epoch,loss,lr,mae,mse,val_loss,val_mae,val_mse
0,2.2376537322998047,0.0002,2.227123498916626,29.533668518066406,0.7371480464935303,0.7266217470169067,0.9759281873703003
1,0.7279237508773804,0.0002,0.7174023389816284,0.9397228360176086,0.6907769441604614,0.6802617311477661,0.8605448603630066
2,0.6739583611488342,0.0002,0.6634494066238403,0.8048597574234009,0.6473096609115601,0.6368075013160706,0.7607277035713196
3,0.6560230255126953,0.0002,0.6455276012420654,0.7680988311767578,0.6569793224334717,0.6464912295341492,0.7854672074317932
4,0.6461368203163147,0.0002,0.6356556415557861,0.748633861541748,0.6440451145172119,0.6335713863372803,0.7574782371520996
5,0.6384940147399902,0.0002,0.6280274987220764,0.7346605062484741,0.61454176902771,0.6040828824043274,0.697352945804596
6,0.633630633354187,0.0002,0.6231788396835327,0.7264228463172913,0.6269346475601196,0.6164903044700623,0.7263987064361572
7,0.6297576427459717,0.0002,0.6193203926086426,0.7191439270973206,0.6155641078948975,0.6051346659660339,0.7075463533401489
8,0.6299018859863281,0.0002,0.6194796562194824,0.7203987836837769,0.6130526065826416,0.6026374697685242,0.6965357661247253
9,0.6243367791175842,0.0002,0.6139289736747742,0.7099073529243469,0.6109910011291504,0.6005905866622925,0.6943753957748413
10,0.6224458813667297,0.0002,0.6120526194572449,0.7072244882583618,0.6016495823860168,0.5912637114524841,0.6773713231086731
11,0.6192089915275574,0.0002,0.608829915523529,0.7007467746734619,0.6027358174324036,0.5923643112182617,0.6815137267112732
12,0.6177656054496765,0.0002,0.6074011325836182,0.6987046003341675,0.6047360301017761,0.5943788886070251,0.6846912503242493
13,0.6165094375610352,0.0002,0.6061594486236572,0.6958231925964355,0.6058603525161743,0.5955176949501038,0.6867430806159973
14,0.6148521900177002,0.0002,0.6045165061950684,0.6933224201202393,0.6109269261360168,0.6005986928939819,0.6948244571685791
15,0.6135990023612976,0.0002,0.6032774448394775,0.6912988424301147,0.6013795137405396,0.5910650491714478,0.681024432182312
16,0.6126918196678162,0.0002,0.6023838520050049,0.6900700926780701,0.6035131812095642,0.5932121276855469,0.6855173707008362
17,0.6114556789398193,0.0002,0.601161003112793,0.6874300241470337,0.5965535044670105,0.5862657427787781,0.6737149953842163
18,0.611564576625824,0.0002,0.6012833118438721,0.6882379651069641,0.6007840633392334,0.5905094146728516,0.678388237953186
19,0.6112409830093384,0.0002,0.6009724736213684,0.6878851652145386,0.6008250117301941,0.5905632376670837,0.6783498525619507
20,0.6099228858947754,0.0002,0.5996676087379456,0.6857981085777283,0.6042435765266418,0.5939949154853821,0.6811209917068481
21,0.6090508699417114,0.0002,0.5988084673881531,0.6844277381896973,0.5959526300430298,0.5857169032096863,0.6717417240142822
22,0.6088092923164368,0.0002,0.598580002784729,0.6840372085571289,0.5925977230072021,0.5823754072189331,0.666917085647583
23,0.609093427658081,0.0002,0.5988773107528687,0.684041440486908,0.6027970314025879,0.5925872325897217,0.6856526136398315
