epoch,loss,lr,mae,mse,val_loss,val_mae,val_mse
0,9.19365406036377,5e-06,9.183662414550781,239.43621826171875,7.140534400939941,7.130548000335693,140.0808868408203
1,7.05539083480835,5e-06,7.045407772064209,144.50802612304688,6.157442092895508,6.147463321685791,102.86566925048828
2,6.042972087860107,5e-06,6.032999038696289,107.02774047851562,5.429740905761719,5.419771671295166,81.60840606689453
3,5.491044998168945,5e-06,5.481078147888184,88.76201629638672,5.093069076538086,5.08310604095459,72.67121887207031
4,5.165087699890137,5e-06,5.1551289558410645,78.720703125,4.884383201599121,4.874428749084473,66.6368408203125
5,4.950906276702881,5e-06,4.94095516204834,72.3608627319336,4.724576473236084,4.714629650115967,62.56245422363281
6,4.766625881195068,5e-06,4.756684303283691,67.66328430175781,4.568690299987793,4.558752536773682,58.97918701171875
7,4.593580722808838,5e-06,4.583645820617676,63.510650634765625,4.419775009155273,4.409844398498535,55.797119140625
8,4.437588691711426,5e-06,4.427663326263428,59.94285583496094,4.287113189697266,4.277190685272217,53.158660888671875
9,4.295884132385254,5e-06,4.285965919494629,57.03318786621094,4.1578192710876465,4.147904872894287,50.70280075073242
10,4.165491580963135,5e-06,4.155580043792725,54.366973876953125,4.073071002960205,4.063164234161377,48.67435836791992
11,4.072032928466797,5e-06,4.062129497528076,52.065277099609375,3.9427433013916016,3.9328441619873047,46.30410385131836
12,3.95229434967041,5e-06,3.9423987865448,49.83549499511719,3.8582632541656494,3.8483707904815674,44.55449295043945
13,3.8743393421173096,5e-06,3.864450454711914,47.98051834106445,3.7775940895080566,3.767709255218506,42.98593521118164
14,3.797255039215088,5e-06,3.7873735427856445,46.35124206542969,3.7049953937530518,3.695117235183716,41.539024353027344
15,3.7237701416015625,5e-06,3.713895797729492,44.720157623291016,3.638230323791504,3.628358840942383,40.229286193847656
16,3.6524980068206787,5e-06,3.6426305770874023,43.2029914855957,3.639679431915283,3.629815101623535,39.44835662841797
17,3.6084048748016357,5e-06,3.598543167114258,41.983848571777344,3.5362775325775146,3.5264198780059814,38.0134391784668
18,3.536851406097412,5e-06,3.5269954204559326,40.66453552246094,3.480992078781128,3.4711410999298096,36.962528228759766
19,3.4945125579833984,5e-06,3.4846646785736084,39.48210906982422,3.4351584911346436,3.425313711166382,36.07509231567383
20,3.4386329650878906,5e-06,3.4287922382354736,38.38079833984375,3.3754308223724365,3.3655922412872314,35.01646041870117
21,3.3904457092285156,5e-06,3.3806095123291016,37.35469436645508,3.348642110824585,3.3388102054595947,34.249576568603516
22,3.3749146461486816,5e-06,3.3650853633880615,36.59427261352539,3.294126510620117,3.2843000888824463,33.34627914428711
23,3.3110902309417725,5e-06,3.301267623901367,35.50912857055664,3.2685816287994385,3.258761405944824,32.78989028930664
24,3.3373897075653076,5e-06,3.32757306098938,35.15579605102539,3.320922374725342,3.311108350753784,32.5960578918457
